Eixo;Meta;Ação / Atividade;Objeto;Recurso (Estimado)
Articulação;A.01 Instituir o Programa Municipal de Fortalecimento dos Conselhos Locais de Saúde;Elaboração participativa do programa e validação institucional;Serviços gráficos, facilitação de oficinas, coffee break, material de apoio;R$ 2.500
Articulação;A.02 Criar Comitê Gestor Municipal dos CLS;Reuniões de instalação e pactuação de atribuições;Material de expediente, coffee break, impressão de documentos;R$ 1.800
Articulação;A.03 Elaborar Plano Municipal de Fortalecimento dos CLS;Oficinas técnicas para construção do plano;Facilitação, impressão, material gráfico;R$ 3.500
Articulação;A.04 Elaborar diagnóstico institucional dos 12 CLS;Visitas técnicas e aplicação de instrumento diagnóstico;Material de campo, impressão, deslocamentos, diárias;R$ 5.000
Articulação;A.05 Mapear lideranças comunitárias do território;Levantamento e cadastro das lideranças;Material de consumo, formulários, deslocamentos;R$ 2.800
Articulação;A.06 Atualizar a Resolução Municipal dos CLS;Grupo técnico de revisão normativa;Impressão, material de expediente, apoio técnico;R$ 2.000
Articulação;A.07 Elaborar Regimento Interno Modelo;Oficina de elaboração colaborativa;Serviços gráficos, material de apoio;R$ 2.500
Articulação;A.08 Elaborar Manual de Funcionamento dos CLS;Produção e revisão técnica;Diagramação, impressão, revisão textual;R$ 4.000
Articulação;A.09 Elaborar Guia do Conselheiro Local;Produção editorial e validação;Designer gráfico, impressão, revisão;R$ 4.500
Articulação;A.10 Elaborar Guia do Gestor da UBS;Produção de material orientativo;Designer gráfico, impressão;R$ 3.500
Articulação;A.11 Instituir calendário anual dos CLS;Planejamento integrado com UBS;Impressão de calendários e materiais;R$ 1.500
Articulação;A.12 Padronizar atas dos CLS;Desenvolvimento de modelos oficiais;Material gráfico e impressão;R$ 1.000
Articulação;A.13 Padronizar listas de presença;Criação de formulários padronizados;Impressão e material gráfico;R$ 800
Articulação;A.14 Padronizar formulários administrativos;Elaboração de modelos institucionais;Designer gráfico, impressão;R$ 1.500
Articulação;A.15 Implantar fluxo oficial CMS-CLS;Oficina de definição dos fluxos;Material gráfico, reuniões técnicas;R$ 2.500
Articulação;A.16 Implantar fluxo UBS-CLS;Construção conjunta dos procedimentos;Oficinas, impressão, material didático;R$ 2.000
Articulação;A.17 Definir matriz de responsabilidades;Workshop de pactuação institucional;Material gráfico e apoio logístico;R$ 2.200
Articulação;A.18 Criar cadastro municipal dos conselheiros locais;Levantamento e consolidação de dados;Material de expediente, formulários, digitação;R$ 2.800
